OA21CD,National_P,OA_Populat,pop_in_threshold
E00099327,Peak District,230,230.0
E00099328,Peak District,385,385.0
E00099329,Peak District,360,172.26993865030676
E00099330,Peak District,304,70.31292517006803
E00099331,Peak District,370,370.0
E00099332,Peak District,187,187.0
E00099732,Peak District,241,130.27027027027026
E00099734,Peak District,307,67.77922077922078
E00099739,Peak District,257,223.0566037735849
E00099749,Peak District,417,115.44067796610169
E00099767,Peak District,265,232.1487603305785
E00099809,Peak District,130,40.925925925925924
E00099846,Peak District,171,14.869565217391305
E00099849,Peak District,279,100.69172932330827
E00099851,Peak District,115,85.68627450980392
E00099852,Peak District,260,11.64179104477612
E00099853,Peak District,350,304.54545454545456
E00099854,Peak District,155,155.0
E00099855,Peak District,224,224.0
E00099856,Peak District,318,318.0
E00099857,Peak District,242,242.0
E00099858,Peak District,327,327.0
E00099859,Peak District,134,134.0
E00099860,Peak District,271,271.0
E00099861,Peak District,273,273.0
E00099862,Peak District,285,285.0
E00099863,Peak District,322,322.0
E00099864,Peak District,302,302.0
E00099865,Peak District,222,222.0
E00099866,Peak District,330,308.63309352517985
E00099867,Peak District,152,152.0
E00099945,Peak District,216,166.5
E00099947,Peak District,289,13.136363636363637
E00099951,Peak District,299,299.0
E00099952,Peak District,312,31.621621621621617
E00099953,Peak District,203,121.8
E00099993,Peak District,387,230.9171270718232
E00100007,Peak District,227,73.37373737373737
E00100036,Peak District,251,43.101010101010104
E00100041,Peak District,317,44.9645390070922
E00101685,Dartmoor,295,85.5072463768116
E00101716,Exmoor,187,8.5
E00101721,Exmoor,164,142.83870967741936
E00101792,Exmoor,351,43.60248447204968
E00101796,Exmoor,269,30.691275167785236
E00101797,Exmoor,152,152.0
E00101798,Exmoor,307,307.0
E00101915,Exmoor,204,204.0
E00101916,Exmoor,345,345.0
E00101917,Exmoor,300,300.0
E00101918,Exmoor,239,239.0
E00101919,Exmoor,255,255.0
E00101920,Exmoor,260,260.0
E00101922,Exmoor,355,46.42307692307693
E00101940,Exmoor,408,30.22222222222222
E00101942,Exmoor,257,36.714285714285715
E00101944,Exmoor,391,126.88079470198676
E00102023,Dartmoor,313,211.275
E00102031,Dartmoor,250,190.08264462809916
E00102032,Dartmoor,299,299.0
E00102033,Dartmoor,309,260.4428571428572
E00102078,Dartmoor,220,182.1505376344086
E00102079,Dartmoor,300,300.0
E00102081,Dartmoor,283,280.42727272727274
E00102084,Dartmoor,295,295.0
E00102095,Dartmoor,236,236.0
E00102096,Dartmoor,252,252.00000000000003
E00102097,Dartmoor,388,153.96825396825398
E00102100,Dartmoor,348,348.0
E00102191,Dartmoor,449,348.7157360406091
E00102192,Dartmoor,282,282.0
E00102193,Dartmoor,285,285.0
E00102194,Dartmoor,210,210.0
E00102195,Dartmoor,210,210.0
E00102196,Dartmoor,245,245.0
E00102197,Dartmoor,443,443.0
E00102198,Dartmoor,245,245.00000000000003
E00102199,Dartmoor,285,285.0
E00102296,Dartmoor,294,294.0
E00102297,Dartmoor,488,309.6923076923077
E00102298,Dartmoor,270,270.0
E00102299,Dartmoor,366,366.0
E00102300,Dartmoor,346,346.0
E00102301,Dartmoor,286,286.0
E00102302,Dartmoor,238,238.0
E00102303,Dartmoor,278,278.00000000000006
E00102304,Dartmoor,386,386.0
E00102305,Dartmoor,279,279.0
E00102306,Dartmoor,336,336.0
E00102307,Dartmoor,295,295.0
E00102308,Dartmoor,361,361.0
E00102309,Dartmoor,246,246.0
E00102310,Dartmoor,345,345.0
E00102311,Dartmoor,309,159.68456375838923
E00102312,Dartmoor,315,315.0
E00102313,Dartmoor,277,277.0
E00102314,Dartmoor,279,279.0
E00102315,Dartmoor,260,260.0
E00102316,Dartmoor,292,147.89610389610388
E00102317,Dartmoor,273,273.0
E00102318,Dartmoor,420,378.2456140350877
E00102319,Dartmoor,281,281.0
E00102320,Dartmoor,280,280.0
E00102337,Dartmoor,262,182.46428571428572
E00102346,Dartmoor,307,127.45982142857142
E00102350,Dartmoor,337,15.318181818181817
E00102354,Dartmoor,281,281.0
E00102355,Dartmoor,295,295.0
E00102430,Dartmoor,324,137.52517985611513
E00102431,Dartmoor,322,288.241935483871
E00102498,Dartmoor,377,22.47019867549669
E00102499,Dartmoor,355,77.97687861271676
E00102502,Dartmoor,253,36.544444444444444
E00102503,Dartmoor,281,281.0
E00102504,Dartmoor,351,351.0
E00102505,Dartmoor,374,362.5276073619632
E00102605,Dartmoor,315,315.0
E00102606,Dartmoor,349,349.0
E00102607,Dartmoor,229,229.0
E00102608,Dartmoor,502,502.00000000000006
E00102609,Dartmoor,397,396.99999999999994
E00102610,Dartmoor,256,256.0
E00102611,Dartmoor,258,258.0
E00102612,Dartmoor,259,259.0
E00102613,Dartmoor,260,260.0
E00102685,Dartmoor,309,309.0
E00102686,Dartmoor,223,223.00000000000003
E00102687,Dartmoor,331,331.0
E00102688,Dartmoor,220,220.00000000000003
E00102689,Dartmoor,349,349.0
E00102691,Dartmoor,288,288.0
E00102692,Dartmoor,377,137.9268292682927
E00102914,Dartmoor,443,52.73809523809524
E00102916,Dartmoor,366,366.0
E00102918,Dartmoor,132,132.0
E00102924,Dartmoor,270,227.68656716417908
E00102925,Dartmoor,252,252.0
E00102927,Dartmoor,325,325.0
E00102928,Dartmoor,237,237.0
E00102929,Dartmoor,409,409.0
E00102930,Dartmoor,232,232.00000000000003
E00102931,Dartmoor,347,347.0
E00102932,Dartmoor,207,207.0
E00102933,Dartmoor,220,220.0
E00102934,Dartmoor,356,356.0
E00102935,Dartmoor,439,439.0
E00102936,Dartmoor,250,250.0
E00102937,Dartmoor,279,279.0
E00102938,Dartmoor,290,237.27272727272728
E00102939,Dartmoor,332,326.73015873015873
E00102940,Dartmoor,212,212.0
E00102942,Dartmoor,413,413.0
E00102962,Dartmoor,356,356.0
E00102963,Dartmoor,296,296.0
E00102965,Dartmoor,371,344.7880434782609
E00102966,Dartmoor,403,286.3959390862944
E00102967,Dartmoor,175,174.99999999999997
E00102968,Dartmoor,367,367.0
E00102969,Dartmoor,363,362.99999999999994
E00102970,Dartmoor,294,294.0
E00102993,Dartmoor,248,248.0
E00103004,Dartmoor,154,90.58823529411765
E00103048,Dartmoor,299,299.0
E00103049,Dartmoor,377,166.75
E00103050,Dartmoor,309,309.0
E00103051,Dartmoor,283,283.0
E00103052,Dartmoor,410,409.99999999999994
E00103058,Dartmoor,363,363.0
E00103059,Dartmoor,336,336.0
E00103060,Dartmoor,323,322.99999999999994
E00103061,Dartmoor,320,320.0
E00103062,Dartmoor,306,306.0
E00103063,Dartmoor,313,313.0
E00103064,Dartmoor,340,340.0
E00103065,Dartmoor,262,262.0
E00103066,Dartmoor,130,130.0
E00103067,Dartmoor,241,241.0
E00103068,Dartmoor,274,170.38655462184872
E00106257,South Downs,306,26.87837837837838
E00106768,South Downs,399,193.22641509433964
E00106785,South Downs,345,345.0
E00106786,South Downs,267,267.0
E00106787,South Downs,253,253.0
E00106788,South Downs,349,349.0
E00106789,South Downs,260,260.0
E00106790,South Downs,288,198.4
E00106803,South Downs,302,46.46153846153847
E00106816,South Downs,244,244.0
E00106817,South Downs,177,177.0
E00106818,South Downs,235,235.0
E00106819,South Downs,303,303.0
E00106820,South Downs,276,276.0
E00106821,South Downs,236,232.1935483870968
E00106822,South Downs,236,236.00000000000003
E00106823,South Downs,192,192.0
E00106824,South Downs,320,320.0
E00106825,South Downs,274,274.0
E00106826,South Downs,214,214.0
E00106827,South Downs,266,266.0
E00106828,South Downs,329,329.0
E00106829,South Downs,294,294.0
E00106830,South Downs,260,260.0
E00106831,South Downs,348,348.0
E00106832,South Downs,416,416.0
E00106833,South Downs,315,315.0
E00106834,South Downs,284,284.0
E00106835,South Downs,240,240.0
E00106836,South Downs,386,386.0
E00106837,South Downs,267,267.0
E00106838,South Downs,273,273.0
E00106839,South Downs,358,358.0
E00106840,South Downs,327,327.0
E00106841,South Downs,267,267.0
E00106842,South Downs,345,345.0
E00106843,South Downs,246,246.0
E00106844,South Downs,259,259.0
E00106845,South Downs,280,280.0
E00106846,South Downs,192,192.0
E00106847,South Downs,292,292.0
E00106848,South Downs,357,357.0
E00106849,South Downs,317,316.99999999999994
E00106850,South Downs,288,288.0
E00106851,South Downs,294,294.0
E00106852,South Downs,291,291.0
E00106853,South Downs,282,282.0
E00106854,South Downs,168,168.0
E00106855,South Downs,333,333.0
E00106856,South Downs,308,308.0
E00106857,South Downs,609,609.0
E00106858,South Downs,299,299.0
E00106859,South Downs,320,320.00000000000006
E00106860,South Downs,338,338.0
E00106861,South Downs,282,282.0
E00106862,South Downs,381,381.0
E00106863,South Downs,291,291.0
E00106864,South Downs,258,258.0
E00106865,South Downs,322,322.0
E00106866,South Downs,243,243.0
E00106867,South Downs,338,338.0
E00106868,South Downs,258,258.0
E00106869,South Downs,194,194.0
E00106870,South Downs,272,272.0
E00106871,South Downs,242,242.0
E00106872,South Downs,245,245.0
E00106873,South Downs,332,332.0
E00106874,South Downs,307,307.0
E00106875,South Downs,324,324.0
E00106876,South Downs,276,276.0
E00106877,South Downs,276,276.0
E00106878,South Downs,312,312.0
E00106879,South Downs,317,317.0
E00106911,South Downs,301,51.66417910447761
E00106925,South Downs,275,267.5
E00106926,South Downs,262,205.40800000000002
E00106927,South Downs,192,192.0
E00106930,South Downs,331,43.62015503875969
E00106932,South Downs,320,29.767441860465116
E00106944,South Downs,269,38.108333333333334
E00106993,South Downs,345,201.69230769230768
E00107000,South Downs,352,300.7378640776699
E00107001,South Downs,166,104.41935483870967
E00107072,South Downs,250,68.359375
E00107397,South Downs,285,285.0
E00107398,South Downs,228,228.0
E00107399,South Downs,252,252.0
E00107405,South Downs,173,10.679012345679013
E00107522,South Downs,181,181.0
E00107523,South Downs,253,253.0
E00107524,South Downs,248,248.0
E00107525,South Downs,249,249.0
E00107526,South Downs,294,294.0
E00107527,South Downs,294,294.0
E00107528,South Downs,278,278.0
E00107529,South Downs,428,332.1458333333333
E00107868,South Downs,155,155.0
E00114798,South Downs,403,365.38666666666666
E00114799,South Downs,343,264.7315436241611
E00114800,South Downs,436,311.8060606060606
E00114802,South Downs,391,169.77631578947367
E00114816,South Downs,412,68.66666666666667
E00114828,South Downs,276,58.85294117647059
E00114834,South Downs,306,15.42857142857143
E00114843,South Downs,109,108.99999999999999
E00114844,South Downs,224,223.99999999999997
E00114846,South Downs,548,299.13761467889907
E00114847,South Downs,288,288.0
E00114848,South Downs,377,355.1096774193548
E00114853,South Downs,256,256.0
E00114854,South Downs,539,539.0
E00114855,South Downs,436,436.0
E00114856,South Downs,396,396.00000000000006
E00114857,South Downs,346,346.0
E00114858,South Downs,292,292.0
E00114866,South Downs,391,18.91935483870968
E00114877,South Downs,137,137.0
E00114878,South Downs,302,302.0
E00114879,South Downs,262,262.0
E00114880,South Downs,356,356.00000000000006
E00114881,South Downs,494,494.0
E00114882,South Downs,303,303.0
E00114883,South Downs,433,433.0
E00114884,South Downs,127,127.00000000000001
E00114885,South Downs,474,474.0
E00114921,South Downs,233,46.05813953488372
E00114970,South Downs,298,298.0
E00114971,South Downs,122,122.0
E00114972,South Downs,404,404.00000000000006
E00114973,South Downs,323,323.0
E00114974,South Downs,304,304.0
E00114975,South Downs,373,373.0
E00114976,South Downs,300,300.0
E00114977,South Downs,224,224.0
E00114978,South Downs,256,256.0
E00114979,South Downs,316,316.0
E00114980,South Downs,407,407.0
E00114981,South Downs,321,321.0
E00114982,South Downs,282,282.0
E00114983,South Downs,309,309.0
E00114984,South Downs,300,300.0
E00114985,South Downs,344,344.0
E00114986,South Downs,321,321.0
E00114987,South Downs,279,279.0
E00114988,South Downs,240,239.99999999999997
E00114989,South Downs,231,231.0
E00114990,South Downs,315,315.0
E00114991,South Downs,302,302.0
E00114992,South Downs,340,340.0
E00114993,South Downs,403,403.0
E00114994,South Downs,297,297.0
E00114996,South Downs,444,444.0
E00114997,South Downs,610,610.0
E00114998,South Downs,376,376.0
E00115000,South Downs,284,284.0
E00115001,South Downs,301,301.0
E00115002,South Downs,160,160.0
E00115003,South Downs,336,336.0
E00115004,South Downs,285,285.0
E00115005,South Downs,366,366.0
E00115006,South Downs,283,283.0
E00115007,South Downs,353,353.0
E00115008,South Downs,346,346.0
E00115009,South Downs,286,286.0
E00115010,South Downs,313,313.0
E00115011,South Downs,245,245.0
E00115012,South Downs,323,323.0
E00115013,South Downs,332,332.0
E00115014,South Downs,329,329.0
E00115015,South Downs,366,366.0
E00115016,South Downs,310,310.0
E00115017,South Downs,354,354.0
E00115018,South Downs,324,324.0
E00115019,South Downs,322,322.00000000000006
E00115021,South Downs,345,345.0
E00115022,South Downs,321,321.0
E00115023,South Downs,200,200.0
E00115024,South Downs,190,190.00000000000003
E00115025,South Downs,349,349.0
E00115026,South Downs,223,223.0
E00115027,South Downs,237,237.0
E00115028,South Downs,221,221.0
E00115029,South Downs,246,246.00000000000003
E00115030,South Downs,321,321.0
E00115031,South Downs,225,225.0
E00115032,South Downs,212,212.0
E00115033,South Downs,186,186.0
E00115034,South Downs,207,206.99999999999997
E00115040,South Downs,202,202.0
E00115051,South Downs,320,36.641221374045806
E00115052,South Downs,317,283.88059701492534
E00115053,South Downs,290,290.0
E00115054,South Downs,280,280.0
E00115057,South Downs,341,297.8066666666667
E00115058,South Downs,385,385.0
E00115059,South Downs,452,452.0
E00115060,South Downs,135,135.0
E00115061,South Downs,297,297.0
E00115062,South Downs,291,291.0
E00115063,South Downs,291,291.0
E00115064,South Downs,287,287.0
E00115065,South Downs,266,266.0
E00115101,South Downs,373,44.01863354037267
E00116742,New Forest,333,333.0
E00116743,New Forest,298,298.0
E00116744,New Forest,302,302.0
E00116745,New Forest,366,365.99999999999994
E00116746,New Forest,241,241.0
E00116747,New Forest,249,249.00000000000003
E00116748,New Forest,294,294.0
E00116749,New Forest,280,280.0
E00116750,New Forest,358,358.0
E00116751,New Forest,316,316.0
E00116752,New Forest,296,296.0
E00116753,New Forest,308,308.0
E00116754,New Forest,442,442.0
E00116755,New Forest,326,326.0
E00116756,New Forest,308,308.0
E00116757,New Forest,146,146.0
E00116758,New Forest,109,109.0
E00116759,New Forest,295,295.0
E00116760,New Forest,386,237.80357142857144
E00116781,New Forest,378,378.0
E00116782,New Forest,198,179.36470588235295
E00116784,New Forest,282,239.46368715083798
E00116787,New Forest,308,80.822695035461
E00116806,New Forest,430,430.00000000000006
E00116807,New Forest,330,330.0
E00116808,New Forest,319,319.0
E00116809,New Forest,309,309.0
E00116810,New Forest,360,360.0
E00116811,New Forest,235,212.0108695652174
E00116812,New Forest,306,306.00000000000006
E00116813,New Forest,365,364.99999999999994
E00116814,New Forest,527,527.0
E00116815,New Forest,380,380.0
E00116816,New Forest,356,356.0
E00116817,New Forest,214,214.0
E00116818,New Forest,254,254.0
E00116819,New Forest,219,219.0
E00116820,New Forest,250,250.00000000000003
E00116821,New Forest,269,269.0
E00116822,New Forest,338,338.0
E00116823,New Forest,331,331.0
E00116824,New Forest,299,299.0
E00116825,New Forest,295,295.0
E00116826,New Forest,312,312.0
E00116827,New Forest,345,345.0
E00116828,New Forest,206,100.54761904761905
E00116829,New Forest,303,303.0
E00116830,New Forest,388,387.99999999999994
E00116835,New Forest,221,220.99999999999997
E00116841,New Forest,326,228.89361702127658
E00116842,New Forest,314,157.0
E00116843,New Forest,329,162.1159420289855
E00116845,New Forest,379,378.99999999999994
E00116846,New Forest,214,214.0
E00116847,New Forest,227,227.0
E00116848,New Forest,221,221.0
E00116849,New Forest,255,255.00000000000003
E00116850,New Forest,255,255.0
E00116851,New Forest,273,273.0
E00116852,New Forest,233,233.0
E00116853,New Forest,336,336.0
E00116854,New Forest,232,232.0
E00116855,New Forest,313,313.0
E00116856,New Forest,294,294.0
E00116857,New Forest,294,294.0
E00116858,New Forest,350,350.0
E00116859,New Forest,436,436.00000000000006
E00116860,New Forest,267,267.0
E00116861,New Forest,371,371.0
E00116862,New Forest,303,303.0
E00116863,New Forest,281,281.0
E00116864,New Forest,318,318.0
E00116865,New Forest,285,285.0
E00116866,New Forest,218,218.0
E00116867,New Forest,340,340.0
E00116868,New Forest,159,159.0
E00116878,New Forest,114,34.41509433962264
