OA21CD,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,index_righ,CODE,NAME,MEASURE,DESIG_DATE,HOTLINK,STATUS,National_P,Park_Popul,address_in,total_addr,address_ou,OA_Populat,pop_per_ad,pop_inside,pop_outsid,percentage_in,Threshold_0,Threshold_5,Threshold_10,Threshold_15,Threshold_20,Threshold_25,Threshold_30,Threshold_35,Threshold_40,Threshold_45,Threshold_50,Threshold_55,Threshold_60,Threshold_65,Threshold_70,Threshold_75,Threshold_80,Threshold_85,Threshold_90,Threshold_95
E00061149,E01012124,Redcar and Cleveland 020B,,459239,514937,54.5263,-1.08622,6ec08c91-0115-4af3-b43f-e3c441ef81cd,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,285,0.0,128,128.0,285,2.2265625,0.0,285.0,0.0,285,,,,,,,,,,,,,,,,,,,
E00061150,E01032548,Redcar and Cleveland 019E,,459972,514701,54.5241,-1.07495,1702c73d-10ee-4399-af6e-766ec3ffa445,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,293,17.0,119,102.0,293,2.46218487394958,41.85714285714286,251.14285714285717,0.14285714285714285,293,293,293,,,,,,,,,,,,,,,,,
E00061152,E01033472,Redcar and Cleveland 019G,,460670,514783,54.5247,-1.06415,d3539d10-c241-4a93-a5f5-776fcd483f4a,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,338,169.0,169,0.0,338,2.0,338.0,0.0,1.0,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338
E00061153,E01033472,Redcar and Cleveland 019G,,460849,514670,54.5237,-1.06141,e689ce7f-84d0-47ce-afb8-af22a3c29e5a,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,208,126.0,126,0.0,208,1.650793650793651,208.0,0.0,1.0,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
E00061154,E01033472,Redcar and Cleveland 019G,,460950,514843,54.5252,-1.05981,9cd25173-c770-422b-b98a-1a5d339dc70e,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,274,24.0,119,95.0,274,2.302521008403361,55.26050420168067,218.7394957983193,0.20168067226890757,274,274,274,274,274,,,,,,,,,,,,,,,
E00061155,E01012124,Redcar and Cleveland 020B,,457669,513852,54.5167,-1.11069,67c58cfb-d0c9-4af8-a97f-c0f87920e236,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,328,78.0,146,68.0,328,2.246575342465754,175.2328767123288,152.76712328767124,0.5342465753424658,328,328,328,328,328,328,328,328,328,328,328,,,,,,,,,
E00061183,E01012132,Redcar and Cleveland 016A,,469391,513717,54.514,-0.92968,639891af-1bee-428f-89a5-1a3f2f36cc77,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,280,3.0,139,136.0,280,2.014388489208633,6.043165467625899,273.9568345323741,0.02158273381294964,280,,,,,,,,,,,,,,,,,,,
E00061185,E01012132,Redcar and Cleveland 016A,,468330,515931,54.5341,-0.94556,410c0816-991c-446e-8997-dfc4780c357c,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,258,3.0,104,101.0,258,2.480769230769231,7.442307692307693,250.55769230769232,0.028846153846153848,258,,,,,,,,,,,,,,,,,,,
E00061190,E01012134,Redcar and Cleveland 016B,,474319,517724,54.5493,-0.85257,9fb3653a-9a61-4058-acc7-5d1753e3a488,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,348,174.0,174,0.0,348,2.0,348.0,0.0,1.0,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348
E00061191,E01012134,Redcar and Cleveland 016B,,474433,518121,54.5529,-0.85071,0d3017f7-8c46-4a1a-a869-de3c3989ab77,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,271,155.0,155,0.0,271,1.748387096774193,271.0,0.0,1.0,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
E00061198,E01012134,Redcar and Cleveland 016B,,474379,518504,54.5563,-0.85145,0b6afdfe-0a05-43d3-acef-de62130b3db7,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,255,132.0,132,0.0,255,1.931818181818182,255.0,0.0,1.0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
E00061203,E01012137,Redcar and Cleveland 016C,,472487,514913,54.5243,-0.88158,4100940d-e167-4c6d-a8c0-74283c12cc41,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,445,27.0,228,201.0,445,1.951754385964912,52.69736842105263,392.30263157894734,0.11842105263157894,445,445,445,,,,,,,,,,,,,,,,,
E00061207,E01012134,Redcar and Cleveland 016B,,474851,517999,54.5517,-0.84428,747b81fc-6428-4c74-b423-65d84c2765d0,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,225,63.0,127,64.0,225,1.771653543307087,111.61417322834646,113.38582677165354,0.49606299212598426,225,225,225,225,225,225,225,225,225,225,,,,,,,,,,
E00061431,E01012183,Redcar and Cleveland 020D,,461175,514820,54.525,-1.05634,5761756a-adbe-4cf5-947f-c6e6f9013945,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,303,0.0,135,135.0,303,2.244444444444444,0.0,303.0,0.0,303,,,,,,,,,,,,,,,,,,,
E00061432,E01012183,Redcar and Cleveland 020D,,461662,514041,54.5179,-1.04898,a57d3086-7381-40f7-8e75-90e1f24737dc,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,312,3.0,132,129.0,312,2.363636363636364,7.090909090909092,304.90909090909093,0.022727272727272728,312,,,,,,,,,,,,,,,,,,,
E00061433,E01012182,Redcar and Cleveland 020C,,462462,512402,54.5031,-1.03697,538c13bd-860f-4bc4-9625-cc18403f751e,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,328,7.0,127,120.0,328,2.582677165354331,18.078740157480315,309.92125984251965,0.05511811023622047,328,328,,,,,,,,,,,,,,,,,,
E00061442,E01012181,Redcar and Cleveland 016D,,465192,513598,54.5135,-0.99456,d19d835b-8b23-4bdc-9ecf-2a7804436bb5,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,260,2.0,124,122.0,260,2.096774193548387,4.193548387096774,255.8064516129032,0.016129032258064516,260,,,,,,,,,,,,,,,,,,,
E00061443,E01012181,Redcar and Cleveland 016D,,465024,515467,54.5303,-0.99674,48bc8fa5-1ee3-4975-952e-ec352cb3e097,4,7,NORTH YORK MOORS,1441.0,1952-11-28,http://www.northyorkmoors.org.uk/,Designated,NORTH YORK MOORS,205,94.0,106,12.0,205,1.933962264150943,181.79245283018867,23.20754716981132,0.8867924528301887,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,,
E00085090,E01016864,Brighton and Hove 025A,,534409,104796,50.8271,-0.09292,f9d6d6bc-9e6b-41dc-9630-11d77d4358f6,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,254,0.0,116,116.0,254,2.189655172413793,0.0,254.0,0.0,254,,,,,,,,,,,,,,,,,,,
E00085223,E01016885,Brighton and Hove 006D,,527008,108472,50.8618,-0.19667,7947e5a0-14e1-4211-8035-143235e224ff,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,297,3.0,150,147.0,297,1.98,5.94,291.06,0.02,297,,,,,,,,,,,,,,,,,,,
E00085301,E01016902,Brighton and Hove 008B,,532180,106865,50.8462,-0.1238,10bb8fe5-274d-406f-a7fd-bf35f0ea5039,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,335,0.0,129,129.0,335,2.596899224806202,0.0,335.0,0.0,335,,,,,,,,,,,,,,,,,,,
E00085304,E01016900,Brighton and Hove 008A,,532429,107298,50.85,-0.12011,4f0f1f5c-21c3-4da9-b517-95e8790d3581,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,392,0.0,126,126.0,392,3.111111111111111,0.0,392.0,0.0,392,,,,,,,,,,,,,,,,,,,
E00085323,E01016898,Brighton and Hove 002A,,532756,109162,50.8667,-0.11479,7dd5bc02-4c02-4f78-83d7-bc242fee4f22,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,435,0.0,168,168.0,435,2.589285714285714,0.0,435.0,0.0,435,,,,,,,,,,,,,,,,,,,
E00085326,E01016898,Brighton and Hove 002A,,533141,108232,50.8583,-0.10966,11e4771c-84c8-4a4e-8467-bf83487475c1,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,319,0.0,128,128.0,319,2.4921875,0.0,319.0,0.0,319,,,,,,,,,,,,,,,,,,,
E00085327,E01016902,Brighton and Hove 008B,,531890,107286,50.8501,-0.12777,9658aa31-b6b9-4d0d-82cc-09b8510f58bc,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,281,0.0,121,121.0,281,2.322314049586777,0.0,281.0,0.0,281,,,,,,,,,,,,,,,,,,,
E00085328,E01016900,Brighton and Hove 008A,,531831,107720,50.854,-0.12845,ce85dbcd-de5b-4fe7-8c9b-80d622d0953d,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,179,0.0,134,134.0,179,1.335820895522388,0.0,179.0,0.0,179,,,,,,,,,,,,,,,,,,,
E00085329,E01016900,Brighton and Hove 008A,,532706,107860,50.855,-0.11597,d21f8cd4-ed88-4d39-8a54-d11dfddb8251,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,242,2.0,148,146.0,242,1.635135135135135,3.27027027027027,238.7297297297297,0.013513513513513514,242,,,,,,,,,,,,,,,,,,,
E00085331,E01016911,Brighton and Hove 009E,,533762,107075,50.8477,-0.10127,da469bba-bf76-4a3c-8a2d-d87de00cc04e,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,336,0.0,114,114.0,336,2.947368421052631,0.0,336.0,0.0,336,,,,,,,,,,,,,,,,,,,
E00085333,E01016906,Brighton and Hove 009A,,534379,106827,50.8454,-0.0926,ae9ff241-8479-47a6-82d0-c075eab8df45,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,390,0.0,130,130.0,390,3.0,0.0,390.0,0.0,390,,,,,,,,,,,,,,,,,,,
E00085334,E01016911,Brighton and Hove 009E,,533596,106279,50.8406,-0.10391,d3910540-aeb2-4c51-88f8-8259c7792865,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,401,0.0,147,147.0,401,2.727891156462585,0.0,401.0,0.0,401,,,,,,,,,,,,,,,,,,,
E00085335,E01016911,Brighton and Hove 009E,,533923,105990,50.8379,-0.09938,625c7101-9991-4822-8ddb-62a92befd047,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,398,0.0,157,157.0,398,2.535031847133758,0.0,398.0,0.0,398,,,,,,,,,,,,,,,,,,,
E00085346,E01016914,Brighton and Hove 002C,,533850,107767,50.8539,-0.09976,86aa00d9-aafd-4979-9214-8504b9706b23,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,349,0.0,121,121.0,349,2.884297520661157,0.0,349.0,0.0,349,,,,,,,,,,,,,,,,,,,
E00085348,E01016908,Brighton and Hove 009C,,533605,107279,50.8496,-0.10342,8645d719-5949-421e-ac63-ee9e5ab8be88,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,396,0.0,122,122.0,396,3.245901639344262,0.0,396.0,0.0,396,,,,,,,,,,,,,,,,,,,
E00085349,E01016908,Brighton and Hove 009C,,533681,107234,50.8492,-0.10236,b373b1dc-8300-4841-9710-74945208351c,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,280,0.0,94,94.0,280,2.978723404255319,0.0,280.0,0.0,280,,,,,,,,,,,,,,,,,,,
E00085351,E01016906,Brighton and Hove 009A,,534769,107041,50.8472,-0.08698,625e41d6-0bdb-4af9-9c78-8270f8e1e1ef,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,338,0.0,127,127.0,338,2.661417322834646,0.0,338.0,0.0,338,,,,,,,,,,,,,,,,,,,
E00085357,E01016906,Brighton and Hove 009A,,534012,106826,50.8454,-0.09781,be380577-3e4e-4c27-841a-d901e29d4c15,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,362,0.0,134,134.0,362,2.701492537313433,0.0,362.0,0.0,362,,,,,,,,,,,,,,,,,,,
E00085360,E01016907,Brighton and Hove 009B,,533182,106617,50.8438,-0.10967,ffc316db-70bb-4ed4-980b-c500c8cea379,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,318,0.0,117,117.0,318,2.717948717948718,0.0,318.0,0.0,318,,,,,,,,,,,,,,,,,,,
E00085361,E01016911,Brighton and Hove 009E,,533771,106495,50.8425,-0.10135,9bcaf72f-fd65-4c94-9e65-a2b5942460bf,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,349,0.0,136,136.0,349,2.566176470588236,0.0,349.0,0.0,349,,,,,,,,,,,,,,,,,,,
E00085363,E01016910,Brighton and Hove 009D,,533241,106362,50.8414,-0.10892,8a7c6aac-9bcc-4ff7-98ac-aa25d42bc5b9,7,10,SOUTH DOWNS,1653.0,2010-03-31,http://southdowns.gov.uk/,Designated,SOUTH DOWNS,395,0.0,131,131.0,395,3.015267175572519,0.0,395.0,0.0,395,,,,,,,,,,,,,,,,,,,
